TFB History
Declared district(s),Revoked district(s),Declared date and time
the whole State of Victoria,,17/02/1947 00:00 to 18/02/1947 00:00
the whole State of Victoria,,03/02/1947 00:00 to 04/02/1947 00:00
the whole State of Victoria,,02/02/1947 00:00 to 03/02/1947 00:00
the whole State of Victoria,,26/01/1947 00:00 to 27/01/1947 00:00
the whole State of Victoria,,21/01/1947 00:00 to 22/01/1947 00:00
the whole State of Victoria,,19/01/1947 00:00 to 20/01/1947 00:00
the whole State of Victoria,,31/01/1946 00:00 to 01/02/1946 00:00
the whole State of Victoria,,28/01/1946 00:00 to 29/01/1946 00:00
the whole State of Victoria,,14/01/1946 00:00 to 15/01/1946 00:00
the whole State of Victoria,,13/01/1946 00:00 to 14/01/1946 00:00
the whole State of Victoria,,26/12/1945 00:00 to 27/12/1945 00:00
the whole State of Victoria,,25/12/1945 00:00 to 26/12/1945 00:00
